tmin	tier	text	tmax
915.97	silences	sounding	922.75
922.75	silences	silent	923.00
923.00	silences	sounding	925.88
925.88	silences	silent	926.04
926.04	silences	sounding	928.27
928.27	silences	silent	928.54
928.54	silences	sounding	930.59
930.59	silences	silent	930.79
930.79	silences	sounding	931.88
931.88	silences	silent	932.11
932.11	silences	sounding	935.96
935.96	silences	silent	936.27
tmin	tier	text	tmax
0	silences	silent	2.60
2.60	silences	sounding	2.75
2.75	silences	silent	3.06
3.06	silences	sounding	3.42
3.42	silences	silent	3.71
3.71	silences	sounding	4.09
4.09	silences	silent	4.79
4.79	silences	sounding	11.47
11.47	silences	silent	12.36
12.36	silences	sounding	13.95
13.95	silences	silent	17.25
17.25	silences	sounding	18.14
18.14	silences	silent	18.32
18.32	silences	sounding	19.77
19.77	silences	silent	20.33
20.33	silences	sounding	25.85
25.85	silences	silent	27.24
27.24	silences	sounding	29.39
29.39	silences	silent	30.27
30.27	silences	sounding	32.02
32.02	silences	silent	33.99
33.99	silences	sounding	36.75
36.75	silences	silent	37.62
37.62	silences	sounding	39.43
39.43	silences	silent	39.67
39.67	silences	sounding	40.47
40.47	silences	silent	42.37
42.37	silences	sounding	43.80
43.80	silences	silent	44.59
44.59	silences	sounding	45.65
45.65	silences	silent	45.80
45.80	silences	sounding	47.33
47.33	silences	silent	49.05
49.05	silences	sounding	50.45
50.45	silences	silent	51.17
51.17	silences	sounding	52.86
52.86	silences	silent	53.24
53.24	silences	sounding	53.91
53.91	silences	silent	54.31
54.31	silences	sounding	55.25
55.25	silences	silent	55.78
55.78	silences	sounding	56.26
56.26	silences	silent	57.00
57.00	silences	sounding	58.57
58.57	silences	silent	60.08
60.08	silences	sounding	61.82
61.82	silences	silent	62.00
62.00	silences	sounding	62.43
62.43	silences	silent	63.23
63.23	silences	sounding	65.14
65.14	silences	silent	65.63
65.63	silences	sounding	67.87
67.87	silences	silent	68.13
68.13	silences	sounding	68.47
68.47	silences	silent	69.22
69.22	silences	sounding	69.78
69.78	silences	silent	70.53
70.53	silences	sounding	82.13
82.13	silences	silent	83.19
83.19	silences	sounding	85.54
85.54	silences	silent	86.12
86.12	silences	sounding	86.83
86.83	silences	silent	87.82
87.82	silences	sounding	96.30
96.30	silences	silent	97.50
97.50	silences	sounding	98.16
98.16	silences	silent	98.44
98.44	silences	sounding	99.14
99.14	silences	silent	99.57
99.57	silences	sounding	100.42
100.42	silences	silent	100.56
100.56	silences	sounding	101.09
101.09	silences	silent	101.38
101.38	silences	sounding	101.74
101.74	silences	silent	102.74
102.74	silences	sounding	104.72
104.72	silences	silent	105.68
105.68	silences	sounding	106.98
106.98	silences	silent	107.26
107.26	silences	sounding	109.17
109.17	silences	silent	109.56
109.56	silences	sounding	110.74
110.74	silences	silent	112.17
112.17	silences	sounding	114.49
114.49	silences	silent	115.17
115.17	silences	sounding	116.56
116.56	silences	silent	117.50
117.50	silences	sounding	118.63
118.63	silences	silent	119.05
119.05	silences	sounding	121.36
121.36	silences	silent	122.41
122.41	silences	sounding	122.53
122.53	silences	silent	123.54
123.54	silences	sounding	125.55
125.55	silences	silent	127.42
127.42	silences	sounding	128.22
128.22	silences	silent	128.44
128.44	silences	sounding	129.63
129.63	silences	silent	130.47
130.47	silences	sounding	132.99
132.99	silences	silent	133.50
133.50	silences	sounding	134.86
134.86	silences	silent	134.97
134.97	silences	sounding	135.23
135.23	silences	silent	135.42
135.42	silences	sounding	136.91
136.91	silences	silent	138.16
138.16	silences	sounding	139.49
139.49	silences	silent	139.79
139.79	silences	sounding	140.15
140.15	silences	silent	140.82
140.82	silences	sounding	141.32
141.32	silences	silent	141.61
141.61	silences	sounding	142.38
142.38	silences	silent	142.62
142.62	silences	sounding	143.54
143.54	silences	silent	144.10
144.10	silences	sounding	145.84
145.84	silences	silent	146.43
146.43	silences	sounding	158.09
158.09	silences	silent	158.33
158.33	silences	sounding	159.46
159.46	silences	silent	159.77
159.77	silences	sounding	160.34
160.34	silences	silent	160.46
160.46	silences	sounding	160.79
160.79	silences	silent	161.40
161.40	silences	sounding	167.19
167.19	silences	silent	167.54
167.54	silences	sounding	168.52
168.52	silences	silent	168.62
168.62	silences	sounding	169.51
169.51	silences	silent	169.72
169.72	silences	sounding	170.11
170.11	silences	silent	170.33
170.33	silences	sounding	170.92
170.92	silences	silent	171.34
171.34	silences	sounding	172.36
172.36	silences	silent	173.63
173.63	silences	sounding	174.37
174.37	silences	silent	174.75
174.75	silences	sounding	175.80
175.80	silences	silent	176.62
176.62	silences	sounding	178.85
178.85	silences	silent	179.72
179.72	silences	sounding	180.38
180.38	silences	silent	180.55
180.55	silences	sounding	183.70
183.70	silences	silent	185.01
185.01	silences	sounding	186.36
186.36	silences	silent	186.71
186.71	silences	sounding	189.72
189.72	silences	silent	190.50
190.50	silences	sounding	195.12
195.12	silences	silent	195.43
195.43	silences	sounding	196.91
196.91	silences	silent	197.71
197.71	silences	sounding	207.07
207.07	silences	silent	207.32
207.32	silences	sounding	208.57
208.57	silences	silent	210.21
210.21	silences	sounding	215.02
215.02	silences	silent	215.42
215.42	silences	sounding	215.56
215.56	silences	silent	215.66
215.66	silences	sounding	217.29
217.29	silences	silent	217.49
217.49	silences	sounding	217.90
217.90	silences	silent	219.08
219.08	silences	sounding	220.86
220.86	silences	silent	220.97
220.97	silences	sounding	222.31
222.31	silences	silent	223.86
223.86	silences	sounding	225.54
225.54	silences	silent	226.48
226.48	silences	sounding	228.23
228.23	silences	silent	228.74
228.74	silences	sounding	235.83
235.83	silences	silent	235.97
235.97	silences	sounding	236.53
236.53	silences	silent	236.67
236.67	silences	sounding	238.11
238.11	silences	silent	238.42
238.42	silences	sounding	239.27
239.27	silences	silent	239.42
239.42	silences	sounding	241.36
241.36	silences	silent	241.72
241.72	silences	sounding	250.42
250.42	silences	silent	251.47
251.47	silences	sounding	253.26
253.26	silences	silent	254.26
254.26	silences	sounding	256.89
256.89	silences	silent	258.33
258.33	silences	sounding	261.91
261.91	silences	silent	263.25
263.25	silences	sounding	265.64
265.64	silences	silent	266.84
266.84	silences	sounding	267.73
267.73	silences	silent	269.11
269.11	silences	sounding	271.63
271.63	silences	silent	271.88
271.88	silences	sounding	273.18
273.18	silences	silent	273.39
273.39	silences	sounding	274.93
274.93	silences	silent	275.93
275.93	silences	sounding	287.25
287.25	silences	silent	287.46
287.46	silences	sounding	288.29
288.29	silences	silent	288.78
288.78	silences	sounding	290.82
290.82	silences	silent	291.03
291.03	silences	sounding	291.75
291.75	silences	silent	292.11
292.11	silences	sounding	293.06
293.06	silences	silent	293.46
293.46	silences	sounding	294.58
294.58	silences	silent	295.15
295.15	silences	sounding	296.57
296.57	silences	silent	296.75
296.75	silences	sounding	298.23
298.23	silences	silent	298.91
298.91	silences	sounding	300.28
300.28	silences	silent	300.56
300.56	silences	sounding	301.33
301.33	silences	silent	301.53
301.53	silences	sounding	302.42
302.42	silences	silent	302.62
302.62	silences	sounding	306.51
306.51	silences	silent	307.32
307.32	silences	sounding	313.98
313.98	silences	silent	314.51
314.51	silences	sounding	318.00
318.00	silences	silent	318.48
318.48	silences	sounding	320.77
320.77	silences	silent	321.03
321.03	silences	sounding	322.64
322.64	silences	silent	323.88
323.88	silences	sounding	326.75
326.75	silences	silent	327.02
327.02	silences	sounding	329.61
329.61	silences	silent	329.93
329.93	silences	sounding	331.21
331.21	silences	silent	331.88
331.88	silences	sounding	333.25
333.25	silences	silent	333.55
333.55	silences	sounding	333.88
333.88	silences	silent	334.19
334.19	silences	sounding	335.57
335.57	silences	silent	337.09
337.09	silences	sounding	339.28
339.28	silences	silent	339.69
339.69	silences	sounding	341.00
341.00	silences	silent	341.45
341.45	silences	sounding	342.39
342.39	silences	silent	342.50
342.50	silences	sounding	344.30
344.30	silences	silent	344.43
344.43	silences	sounding	345.55
345.55	silences	silent	345.81
345.81	silences	sounding	346.71
346.71	silences	silent	347.65
347.65	silences	sounding	353.07
353.07	silences	silent	353.89
353.89	silences	sounding	354.95
354.95	silences	silent	355.25
355.25	silences	sounding	357.36
357.36	silences	silent	357.48
357.48	silences	sounding	357.58
357.58	silences	silent	358.47
358.47	silences	sounding	360.21
360.21	silences	silent	360.42
360.42	silences	sounding	361.39
361.39	silences	silent	362.47
362.47	silences	sounding	364.42
364.42	silences	silent	364.55
364.55	silences	sounding	365.56
365.56	silences	silent	365.71
365.71	silences	sounding	367.25
367.25	silences	silent	367.47
367.47	silences	sounding	369.63
369.63	silences	silent	370.71
370.71	silences	sounding	378.54
378.54	silences	silent	378.76
378.76	silences	sounding	379.89
379.89	silences	silent	380.12
380.12	silences	sounding	381.74
381.74	silences	silent	381.95
381.95	silences	sounding	383.64
383.64	silences	silent	383.87
383.87	silences	sounding	386.76
386.76	silences	silent	386.99
386.99	silences	sounding	388.58
388.58	silences	silent	388.75
388.75	silences	sounding	407.18
407.18	silences	silent	408.45
408.45	silences	sounding	410.60
410.60	silences	silent	411.33
411.33	silences	sounding	415.33
415.33	silences	silent	415.66
415.66	silences	sounding	416.69
416.69	silences	silent	417.59
417.59	silences	sounding	419.83
419.83	silences	silent	420.06
420.06	silences	sounding	420.90
420.90	silences	silent	421.04
421.04	silences	sounding	421.75
421.75	silences	silent	422.51
422.51	silences	sounding	423.59
423.59	silences	silent	425.02
425.02	silences	sounding	426.22
426.22	silences	silent	426.43
426.43	silences	sounding	427.81
427.81	silences	silent	428.22
428.22	silences	sounding	430.42
430.42	silences	silent	430.66
430.66	silences	sounding	431.82
431.82	silences	silent	432.07
432.07	silences	sounding	433.21
433.21	silences	silent	433.42
433.42	silences	sounding	435.29
435.29	silences	silent	435.60
435.60	silences	sounding	447.19
447.19	silences	silent	447.51
447.51	silences	sounding	449.57
449.57	silences	silent	450.55
450.55	silences	sounding	452.27
452.27	silences	silent	452.46
452.46	silences	sounding	454.65
454.65	silences	silent	454.91
454.91	silences	sounding	456.89
456.89	silences	silent	457.18
457.18	silences	sounding	458.28
458.28	silences	silent	458.53
458.53	silences	sounding	459.07
459.07	silences	silent	460.02
460.02	silences	sounding	461.94
461.94	silences	silent	462.11
462.11	silences	sounding	463.87
463.87	silences	silent	464.07
464.07	silences	sounding	464.75
464.75	silences	silent	465.09
465.09	silences	sounding	465.99
465.99	silences	silent	466.33
466.33	silences	sounding	467.18
467.18	silences	silent	467.43
467.43	silences	sounding	467.54
467.54	silences	silent	467.65
467.65	silences	sounding	469.15
469.15	silences	silent	470.49
470.49	silences	sounding	473.45
473.45	silences	silent	473.82
473.82	silences	sounding	475.31
475.31	silences	silent	475.65
475.65	silences	sounding	477.25
477.25	silences	silent	477.45
477.45	silences	sounding	478.02
478.02	silences	silent	478.23
478.23	silences	sounding	480.04
480.04	silences	silent	480.92
480.92	silences	sounding	487.66
487.66	silences	silent	487.81
487.81	silences	sounding	489.36
489.36	silences	silent	489.56
489.56	silences	sounding	490.65
490.65	silences	silent	491.14
491.14	silences	sounding	495.94
495.94	silences	silent	496.17
496.17	silences	sounding	498.84
498.84	silences	silent	499.07
499.07	silences	sounding	500.10
500.10	silences	silent	500.44
500.44	silences	sounding	501.43
501.43	silences	silent	502.33
502.33	silences	sounding	506.44
506.44	silences	silent	506.86
506.86	silences	sounding	508.67
508.67	silences	silent	509.38
509.38	silences	sounding	512.02
512.02	silences	silent	512.45
512.45	silences	sounding	513.22
513.22	silences	silent	513.77
513.77	silences	sounding	515.11
515.11	silences	silent	515.38
515.38	silences	sounding	526.22
526.22	silences	silent	527.07
527.07	silences	sounding	530.21
530.21	silences	silent	530.65
530.65	silences	sounding	531.32
531.32	silences	silent	532.01
532.01	silences	sounding	536.72
536.72	silences	silent	537.58
537.58	silences	sounding	542.03
542.03	silences	silent	543.22
543.22	silences	sounding	544.15
544.15	silences	silent	544.33
544.33	silences	sounding	545.45
545.45	silences	silent	545.56
545.56	silences	sounding	546.95
546.95	silences	silent	548.24
548.24	silences	sounding	549.81
549.81	silences	silent	550.01
550.01	silences	sounding	550.54
550.54	silences	silent	550.79
550.79	silences	sounding	551.21
551.21	silences	silent	551.37
551.37	silences	sounding	551.89
551.89	silences	silent	553.37
553.37	silences	sounding	555.32
555.32	silences	silent	555.65
555.65	silences	sounding	556.40
556.40	silences	silent	557.36
557.36	silences	sounding	560.33
560.33	silences	silent	560.60
560.60	silences	sounding	562.87
562.87	silences	silent	563.19
563.19	silences	sounding	565.63
565.63	silences	silent	565.99
565.99	silences	sounding	567.08
567.08	silences	silent	568.97
568.97	silences	sounding	569.96
569.96	silences	silent	570.76
570.76	silences	sounding	571.71
571.71	silences	silent	572.15
572.15	silences	sounding	574.06
574.06	silences	silent	575.12
575.12	silences	sounding	576.73
576.73	silences	silent	577.32
577.32	silences	sounding	578.22
578.22	silences	silent	578.42
578.42	silences	sounding	580.55
580.55	silences	silent	580.91
580.91	silences	sounding	581.86
581.86	silences	silent	582.33
582.33	silences	sounding	583.32
583.32	silences	silent	583.47
583.47	silences	sounding	584.30
584.30	silences	silent	584.41
584.41	silences	sounding	584.52
584.52	silences	silent	586.17
586.17	silences	sounding	588.94
588.94	silences	silent	589.17
589.17	silences	sounding	590.57
590.57	silences	silent	591.03
591.03	silences	sounding	593.05
593.05	silences	silent	594.12
594.12	silences	sounding	594.95
594.95	silences	silent	595.51
595.51	silences	sounding	596.09
596.09	silences	silent	596.58
596.58	silences	sounding	598.15
598.15	silences	silent	598.51
598.51	silences	sounding	599.73
599.73	silences	silent	600.76
600.76	silences	sounding	606.73
606.73	silences	silent	606.94
606.94	silences	sounding	608.19
608.19	silences	silent	608.34
608.34	silences	sounding	610.44
610.44	silences	silent	610.68
610.68	silences	sounding	612.90
612.90	silences	silent	613.03
613.03	silences	sounding	638.55
638.55	silences	silent	638.92
638.92	silences	sounding	640.41
640.41	silences	silent	641.65
641.65	silences	sounding	642.87
642.87	silences	silent	643.78
643.78	silences	sounding	644.83
644.83	silences	silent	645.34
645.34	silences	sounding	646.18
646.18	silences	silent	647.05
647.05	silences	sounding	648.22
648.22	silences	silent	648.82
648.82	silences	sounding	650.17
650.17	silences	silent	650.43
650.43	silences	sounding	651.59
651.59	silences	silent	651.86
651.86	silences	sounding	652.74
652.74	silences	silent	652.90
652.90	silences	sounding	653.58
653.58	silences	silent	653.99
653.99	silences	sounding	655.26
655.26	silences	silent	655.55
655.55	silences	sounding	656.46
656.46	silences	silent	656.65
656.65	silences	sounding	657.46
657.46	silences	silent	657.68
657.68	silences	sounding	658.19
658.19	silences	silent	658.53
658.53	silences	sounding	667.31
667.31	silences	silent	667.80
667.80	silences	sounding	669.48
669.48	silences	silent	669.75
669.75	silences	sounding	670.68
670.68	silences	silent	671.05
671.05	silences	sounding	671.30
671.30	silences	silent	672.72
672.72	silences	sounding	675.06
675.06	silences	silent	675.34
675.34	silences	sounding	676.40
676.40	silences	silent	677.03
677.03	silences	sounding	677.90
677.90	silences	silent	679.15
679.15	silences	sounding	679.60
679.60	silences	silent	679.85
679.85	silences	sounding	680.87
680.87	silences	silent	681.10
681.10	silences	sounding	681.63
681.63	silences	silent	682.98
682.98	silences	sounding	685.04
685.04	silences	silent	685.22
685.22	silences	sounding	685.88
685.88	silences	silent	686.10
686.10	silences	sounding	688.15
688.15	silences	silent	689.34
689.34	silences	sounding	695.74
695.74	silences	silent	696.03
696.03	silences	sounding	698.62
698.62	silences	silent	699.16
699.16	silences	sounding	722.13
722.13	silences	silent	722.34
722.34	silences	sounding	735.46
735.46	silences	silent	735.75
735.75	silences	sounding	737.13
737.13	silences	silent	737.80
737.80	silences	sounding	738.61
738.61	silences	silent	738.95
738.95	silences	sounding	739.32
739.32	silences	silent	741.38
741.38	silences	sounding	741.70
741.70	silences	silent	741.96
741.96	silences	sounding	742.85
742.85	silences	silent	743.42
743.42	silences	sounding	744.75
744.75	silences	silent	745.05
745.05	silences	sounding	745.85
745.85	silences	silent	746.09
746.09	silences	sounding	747.21
747.21	silences	silent	747.47
747.47	silences	sounding	748.70
748.70	silences	silent	749.08
749.08	silences	sounding	750.38
750.38	silences	silent	750.63
750.63	silences	sounding	751.70
751.70	silences	silent	752.93
752.93	silences	sounding	753.25
753.25	silences	silent	754.03
754.03	silences	sounding	755.45
755.45	silences	silent	755.70
755.70	silences	sounding	757.41
757.41	silences	silent	757.62
757.62	silences	sounding	759.10
759.10	silences	silent	759.29
759.29	silences	sounding	760.88
760.88	silences	silent	761.07
761.07	silences	sounding	787.83
787.83	silences	silent	788.22
788.22	silences	sounding	789.52
789.52	silences	silent	790.11
790.11	silences	sounding	791.55
791.55	silences	silent	792.23
792.23	silences	sounding	793.39
793.39	silences	silent	793.67
793.67	silences	sounding	794.47
794.47	silences	silent	796.05
796.05	silences	sounding	798.97
798.97	silences	silent	800.07
800.07	silences	sounding	800.86
800.86	silences	silent	801.15
801.15	silences	sounding	802.04
802.04	silences	silent	802.33
802.33	silences	sounding	804.53
804.53	silences	silent	805.07
805.07	silences	sounding	806.50
806.50	silences	silent	806.98
806.98	silences	sounding	809.51
809.51	silences	silent	810.16
810.16	silences	sounding	812.91
812.91	silences	silent	813.22
813.22	silences	sounding	814.89
814.89	silences	silent	815.33
815.33	silences	sounding	816.43
816.43	silences	silent	818.07
818.07	silences	sounding	819.55
819.55	silences	silent	819.65
819.65	silences	sounding	820.70
820.70	silences	silent	821.96
821.96	silences	sounding	824.29
824.29	silences	silent	824.76
824.76	silences	sounding	825.62
825.62	silences	silent	826.79
826.79	silences	sounding	827.27
827.27	silences	silent	827.47
827.47	silences	sounding	829.03
829.03	silences	silent	829.46
829.46	silences	sounding	830.02
830.02	silences	silent	830.30
830.30	silences	sounding	830.70
830.70	silences	silent	830.81
830.81	silences	sounding	831.54
831.54	silences	silent	831.97
831.97	silences	sounding	833.59
833.59	silences	silent	833.82
833.82	silences	sounding	835.49
835.49	silences	silent	835.66
835.66	silences	sounding	865.20
865.20	silences	silent	865.74
865.74	silences	sounding	866.26
866.26	silences	silent	866.63
866.63	silences	sounding	867.61
867.61	silences	silent	868.51
868.51	silences	sounding	870.11
870.11	silences	silent	870.42
870.42	silences	sounding	871.34
871.34	silences	silent	871.47
871.47	silences	sounding	872.83
872.83	silences	silent	873.03
873.03	silences	sounding	873.33
873.33	silences	silent	873.66
873.66	silences	sounding	875.22
875.22	silences	silent	875.41
875.41	silences	sounding	876.50
876.50	silences	silent	877.37
877.37	silences	sounding	879.63
879.63	silences	silent	879.83
879.83	silences	sounding	880.82
880.82	silences	silent	881.02
881.02	silences	sounding	883.58
883.58	silences	silent	883.82
883.82	silences	sounding	884.98
884.98	silences	silent	885.81
885.81	silences	sounding	892.07
892.07	silences	silent	892.35
892.35	silences	sounding	893.71
893.71	silences	silent	893.91
893.91	silences	sounding	894.27
894.27	silences	silent	894.47
894.47	silences	sounding	895.06
895.06	silences	silent	895.31
895.31	silences	sounding	895.80
895.80	silences	silent	896.11
896.11	silences	sounding	896.95
896.95	silences	silent	897.15
897.15	silences	sounding	900.13
900.13	silences	silent	900.28
900.28	silences	sounding	911.16
911.16	silences	silent	911.92
911.92	silences	sounding	913.53
913.53	silences	silent	913.83
913.83	silences	sounding	915.76
915.76	silences	silent	915.97
915.97	silences	sounding	922.75
922.75	silences	silent	923.00
923.00	silences	sounding	925.88
925.88	silences	silent	926.04
926.04	silences	sounding	928.27
928.27	silences	silent	928.54
928.54	silences	sounding	930.59
930.59	silences	silent	930.79
930.79	silences	sounding	931.88
931.88	silences	silent	932.11
932.11	silences	sounding	935.96
935.96	silences	silent	936.27
